room_id,dq_missing_customer_id,dq_amount_negative,source,checkout_date,booking_id,dq_date_inverted,total_amount,checkin_date,nights,dq_currency_invalid,customer_id,status
H005-R008,false,false,booking.com,2025-02-27,B001711,false,182.47,2025-02-26,1,false,C01097,confirmed
H004-R006,false,false,walk_in,2025-07-01,B005500,false,371.14,2025-06-29,2,false,C02351,confirmed
H007-R006,false,false,walk_in,2025-06-09,B003364,false,183.57,2025-06-08,1,false,C01963,confirmed
H001-R009,false,false,web,2025-02-05,B005875,false,947.63,2025-01-31,5,false,C01897,confirmed
H004-R009,false,false,booking.com,2025-05-19,B003694,false,477.52,2025-05-15,4,false,C00890,confirmed
H002-R020,false,false,mobile,2025-03-02,B001585,false,181.89,2025-03-01,1,false,C02852,confirmed
H008-R021,false,false,walk_in,2025-02-19,B005730,false,129.32,2025-02-18,1,false,C00753,confirmed
H005-R008,false,false,web,2025-03-09,B004081,false,214.78,2025-03-08,1,false,C00939,confirmed
H007-R002,false,false,mobile,2025-06-10,B001934,false,1487.18,2025-06-03,7,false,C02893,confirmed
H004-R020,false,false,booking.com,2025-01-25,B000196,false,126.54,2025-01-24,1,false,C01672,confirmed
H006-R001,false,false,walk_in,2025-04-07,B003944,false,370.63,2025-04-05,2,false,C01832,confirmed
H007-R003,false,false,web,2025-07-22,B001807,false,165.59,2025-07-21,1,false,C00768,confirmed
H005-R004,false,false,walk_in,2025-07-28,B004303,false,530.09,2025-07-25,3,false,C01206,confirmed
H001-R020,false,false,web,2025-06-25,B002160,false,715.06,2025-06-20,5,false,C01278,confirmed
H002-R016,false,false,expedia,2025-05-25,B000061,false,745.77,2025-05-21,4,false,C01329,confirmed
H003-R020,false,false,mobile,2025-04-11,B005997,false,1195.99,2025-04-04,7,false,C02393,confirmed
H004-R016,false,false,expedia,2025-02-26,B004142,false,317.55,2025-02-24,2,false,C01572,confirmed
H004-R002,false,false,mobile,2025-03-08,B002557,false,142.81,2025-03-07,1,false,C01972,confirmed
H006-R013,false,false,expedia,2025-05-27,B000439,false,124.97,2025-05-26,1,false,C01766,confirmed
H002-R005,false,false,web,2025-06-13,B004538,false,596.15,2025-06-10,3,false,C01205,confirmed
H001-R025,false,false,walk_in,2025-07-09,B002407,false,384.99,2025-07-06,3,false,C02924,confirmed
H008-R020,false,false,walk_in,2025-07-08,B000293,false,130.43,2025-07-07,1,false,C02457,confirmed
H001-R004,false,false,walk_in,2025-04-20,B004892,false,412.49,2025-04-18,2,false,C00087,confirmed
H008-R007,false,false,walk_in,2025-06-26,B002760,false,487.54,2025-06-22,4,false,C00292,confirmed
H006-R024,false,false,mobile,2025-05-09,B000669,false,387.72,2025-05-07,2,false,C01026,confirmed
H004-R002,false,false,booking.com,2025-05-01,B004402,false,856.01,2025-04-27,4,false,C01327,confirmed
H003-R018,false,false,web,2025-06-06,B004764,false,809.49,2025-06-02,4,false,C01634,confirmed
H005-R014,false,false,walk_in,2025-05-02,B002628,false,164.46,2025-05-01,1,false,C00622,confirmed
H007-R016,false,false,web,2025-06-05,B001023,false,207.68,2025-06-04,1,false,C01796,confirmed
H001-R024,false,false,mobile,2025-01-13,B005136,false,524.8,2025-01-09,4,false,C01542,confirmed
H004-R007,false,false,expedia,2025-07-12,B002986,false,431.06,2025-07-09,3,false,C01396,confirmed
H006-R025,false,false,web,2025-05-20,B000894,false,127.7,2025-05-19,1,false,C01116,confirmed
H002-R014,false,false,expedia,2025-01-08,B001229,false,152.74,2025-01-07,1,false,C00105,confirmed
H003-R010,false,false,web,2025-07-03,B004996,false,430.69,2025-06-30,3,false,C00820,confirmed
H008-R001,false,false,mobile,2025-05-05,B002856,false,696.44,2025-05-01,4,false,C02325,confirmed
H002-R019,false,false,walk_in,2025-02-09,B005353,false,138.83,2025-02-08,1,false,C00688,confirmed
H002-R019,false,false,mobile,2025-05-23,B003211,false,364.2,2025-05-21,2,false,C01864,confirmed
H006-R010,false,false,mobile,2025-07-03,B001091,false,932.96,2025-06-28,5,false,C00464,confirmed
H003-R004,false,false,booking.com,2025-04-13,B005197,false,657.26,2025-04-09,4,false,C01123,confirmed
H001-R014,false,false,expedia,2025-02-07,B003574,false,140.57,2025-02-06,1,false,C00413,confirmed
H004-R020,false,false,expedia,2025-02-22,B001458,false,210.05,2025-02-21,1,false,C01351,confirmed
H006-R014,false,false,booking.com,2025-05-05,B005579,false,177.03,2025-05-04,1,false,C00859,confirmed
H007-R012,false,false,booking.com,2025-04-14,B003423,false,456.86,2025-04-11,3,false,C00120,confirmed
H005-R006,false,false,expedia,2025-03-02,B001325,false,596.24,2025-02-26,4,false,C00954,confirmed
H008-R023,false,false,mobile,2025-07-27,B005972,false,775.99,2025-07-23,4,false,C00636,confirmed
H008-R006,false,false,walk_in,2025-05-08,B003764,false,570.8,2025-05-05,3,false,C02080,confirmed
H007-R001,false,false,walk_in,2025-07-25,B001651,false,849.62,2025-07-19,6,false,C00882,confirmed
H004-R003,false,false,web,2025-03-20,B005446,false,151.16,2025-03-19,1,false,C01448,confirmed
H004-R011,false,false,booking.com,2025-05-24,B005808,false,682.58,2025-05-19,5,false,C00720,confirmed
H002-R018,false,false,booking.com,2025-03-03,B003631,false,239.79,2025-03-01,2,false,C01312,confirmed
H001-R022,false,false,expedia,2025-05-26,B002016,false,1281.38,2025-05-19,7,false,C01680,confirmed
H006-R016,false,false,mobile,2025-02-19,B004018,false,193.78,2025-02-18,1,false,C02212,confirmed
H003-R015,false,false,web,2025-03-10,B001876,false,525.95,2025-03-06,4,false,C01351,confirmed
H008-R015,false,false,walk_in,2025-04-07,B002248,false,964.69,2025-04-01,6,false,C01428,confirmed
H006-R009,false,false,web,2025-05-31,B000125,false,398.87,2025-05-29,2,false,C02870,confirmed
H004-R007,false,false,web,2025-07-23,B003868,false,259.13,2025-07-21,2,false,C01222,confirmed
