room_id,booking_id_2,overlap_end,booking_id_1,overlap_start
H004-R001,B004089,2025-05-24,B005604,2025-05-23
H005-R015,B003891,2025-05-21,B004988,2025-05-18
H003-R003,B005571,2025-05-05,B005349,2025-05-04
H004-R006,B003306,2025-06-20,B003282,2025-06-19
H004-R025,B003994,2025-05-23,B004129,2025-05-19
H003-R023,B002828,2025-01-30,B004685,2025-01-29
H007-R006,B000141,2025-02-12,B003713,2025-02-11
H005-R002,B002204,2025-06-28,B002983,2025-06-26
H006-R001,B004001,2025-06-03,B004212,2025-06-01
H001-R002,B003412,2025-03-07,B001396,2025-03-06
H001-R022,B001972,2025-07-26,B000938,2025-07-24
H004-R005,B000953,2025-07-14,B001577,2025-07-12
H006-R024,B002332,2025-06-17,B004252,2025-06-12
H008-R024,B000078,2025-03-17,B001052,2025-03-15
H002-R018,B000373,2025-06-20,B003503,2025-06-19
H008-R010,B005891,2025-02-02,B001459,2025-01-31
H008-R016,B001879,2025-01-23,B003633,2025-01-20
H001-R015,B002966,2025-06-11,B001961,2025-06-10
H005-R004,B005767,2025-04-01,B000394,2025-03-31
H003-R018,B002808,2025-04-28,B005712,2025-04-27
H001-R020,B002345,2025-05-14,B004926,2025-05-09
H008-R020,B003511,2025-03-30,B004043,2025-03-29
H008-R018,B005180,2025-05-03,B002213,2025-05-02
H007-R010,B005389,2025-06-07,B000543,2025-06-03
H007-R021,B005915,2025-05-21,B005876,2025-05-20
H006-R002,B000080,2025-05-09,B000038,2025-05-07
H005-R011,B002691,2025-02-13,B003279,2025-02-12
H006-R019,B001653,2025-04-29,B003779,2025-04-27
H007-R022,B005478,2025-03-13,B002548,2025-03-09
H007-R005,B002217,2025-04-04,B001720,2025-04-03
H007-R015,B002962,2025-05-04,B004256,2025-05-03
H001-R011,B005488,2025-04-27,B002360,2025-04-25
H002-R019,B003762,2025-02-11,B001206,2025-02-06
H007-R014,B002820,2025-07-18,B001885,2025-07-13
H004-R010,B005354,2025-07-27,B005153,2025-07-26
H005-R007,B004857,2025-01-20,B003750,2025-01-19
H004-R003,B005080,2025-07-30,B002780,2025-07-26
H005-R003,B002992,2025-03-26,B002143,2025-03-25
H005-R016,B002005,2025-02-05,B002559,2025-02-03
H001-R010,B000916,2025-06-11,B001384,2025-06-10
H006-R013,B005060,2025-07-18,B005269,2025-07-17
H008-R004,B002301,2025-07-17,B004666,2025-07-16
H005-R020,B003829,2025-05-29,B001901,2025-05-28
H003-R017,B001931,2025-04-02,B003592,2025-04-01
H003-R003,B004816,2025-07-04,B001603,2025-07-02
H002-R016,B002341,2025-07-05,B002690,2025-07-03
H001-R004,B004892,2025-04-20,B003746,2025-04-18
H001-R019,B000486,2025-04-21,B001732,2025-04-19
H001-R008,B000324,2025-05-31,B002851,2025-05-30
H007-R009,B004282,2025-06-22,B002269,2025-06-21
H003-R025,B000707,2025-05-24,B003659,2025-05-22
H004-R024,B004176,2025-02-09,B000345,2025-02-08
H007-R025,B005490,2025-04-27,B000646,2025-04-26
H004-R012,B005670,2025-02-14,B003826,2025-02-10
H006-R008,B003564,2025-02-10,B005553,2025-02-09
H001-R024,B005007,2025-03-25,B004404,2025-03-23
H002-R008,B003198,2025-03-19,B003057,2025-03-17
H008-R021,B003541,2025-02-01,B001377,2025-01-31
H003-R009,B000512,2025-02-03,B003468,2025-01-30
H002-R006,B002869,2025-04-22,B004967,2025-04-20
H008-R016,B005837,2025-07-27,B002232,2025-07-25
H007-R017,B004493,2025-05-07,B001612,2025-05-05
H001-R012,B004668,2025-08-04,B000829,2025-08-03
H007-R002,B004438,2025-02-11,B000265,2025-02-09
H002-R003,B001803,2025-04-05,B001960,2025-04-04
H006-R014,B000270,2025-03-24,B000065,2025-03-20
H008-R020,B000784,2025-06-21,B001941,2025-06-19
H003-R014,B002973,2025-02-28,B004813,2025-02-25
H006-R020,B000712,2025-05-22,B004408,2025-05-20
H006-R009,B003488,2025-01-31,B002099,2025-01-27
H003-R004,B005718,2025-04-03,B005999,2025-03-31
H002-R022,B004307,2025-07-03,B004529,2025-07-02
